season,number,position,driverId,constructorId,Q1,Q2,Q3
2011,4,4,button,mclaren,1:25.886,1:24.957,1:24.779
2011,5,5,alonso,ferrari,1:25.707,1:25.242,1:24.974
2011,10,6,petrov,renault,1:25.543,1:25.582,1:25.247
2011,8,7,rosberg,mercedes,1:25.856,1:25.606,1:25.421
2011,6,8,massa,ferrari,1:26.031,1:25.611,1:25.599
2011,16,9,kobayashi,sauber,1:25.717,1:25.405,1:25.626
2011,18,10,buemi,toro_rosso,1:26.232,1:25.882,1:27.066
2011,7,11,michael_schumacher,mercedes,1:25.962,1:25.971,
2011,19,12,alguersuari,toro_rosso,1:26.620,1:26.103,
2011,17,13,perez,sauber,1:25.812,1:26.108,
2011,15,14,resta,force_india,1:27.222,1:26.739,
2011,12,15,maldonado,williams,1:26.298,1:26.768,
2011,14,16,sutil,force_india,1:26.245,1:31.407,
2011,11,17,barrichello,williams,1:26.270,,
2011,9,18,heidfeld,renault,1:27.239,,
2011,20,19,kovalainen,lotus_racing,1:29.254,,
2011,21,20,trulli,lotus_racing,1:29.342,,
2011,24,21,glock,virgin,1:29.858,,
2011,25,22,ambrosio,virgin,1:30.822,,
2011,23,23,liuzzi,hrt,1:32.978,,
2011,22,24,karthikeyan,hrt,1:34.293,,
2011,1,1,vettel,red_bull,1:37.468,1:35.934,1:34.870
2011,3,2,hamilton,mclaren,1:36.861,1:35.852,1:34.974
2011,2,3,webber,red_bull,1:37.924,1:36.080,1:35.179
2011,4,4,button,mclaren,1:37.033,1:35.569,1:35.200
2011,5,5,alonso,ferrari,1:36.897,1:36.320,1:35.802
2011,9,6,heidfeld,renault,1:37.224,1:36.811,1:36.124
2012,4,1,hamilton,mclaren,1:26.800,1:25.626,1:24.922
2012,3,2,button,mclaren,1:26.832,1:25.663,1:25.074
2012,10,3,grosjean,lotus_f1,1:26.498,1:25.845,1:25.302
2012,7,4,michael_schumacher,mercedes,1:26.586,1:25.571,1:25.336
2012,2,5,webber,red_bull,1:27.117,1:26.597,1:25.651
2012,1,6,vettel,red_bull,1:26.773,1:25.982,1:25.668
2012,8,7,rosberg,mercedes,1:26.763,1:25.469,1:25.686
2012,18,8,maldonado,williams,1:26.803,1:26.206,1:25.908
2012,12,9,hulkenberg,force_india,1:27.464,1:26.314,1:26.451
2012,16,10,ricciardo,toro_rosso,1:27.024,1:26.319,
2012,17,11,vergne,toro_rosso,1:26.493,1:26.429,
2012,5,12,alonso,ferrari,1:26.688,1:26.494,
2012,14,13,kobayashi,sauber,1:26.182,1:26.590,
2012,19,14,bruno_senna,williams,1:27.004,1:26.663,
2012,11,15,resta,force_india,1:27.469,1:27.086,
2012,6,16,massa,ferrari,1:27.633,1:27.497,
2012,15,17,perez,sauber,1:26.596,,
2012,9,18,raikkonen,lotus_f1,1:27.758,,
2012,20,19,kovalainen,caterham,1:28.679,,
2012,21,20,petrov,caterham,1:29.018,,
2012,24,21,glock,marussia,1:30.923,,
2012,25,22,pic,marussia,1:31.670,,
2012,22,23,rosa,hrt,1:33.495,,
2012,23,24,karthikeyan,hrt,1:33.643,,
