driverId,position,positionText,points,wins
vettel,1,1,256.0,5
alonso,2,2,252.0,5
webber,3,3,242.0,4
hamilton,4,4,240.0,3
button,5,5,214.0,2
massa,6,6,144.0,0
rosberg,7,7,142.0,0
kubica,8,8,136.0,0
michael_schumacher,9,9,72.0,0
barrichello,10,10,47.0,0
sutil,11,11,47.0,0
kobayashi,12,12,32.0,0
petrov,13,13,27.0,0
hulkenberg,14,14,22.0,0
liuzzi,15,15,21.0,0
buemi,16,16,8.0,0
rosa,17,17,6.0,0
heidfeld,18,18,6.0,0
alguersuari,19,19,5.0,0
kovalainen,20,20,0.0,0
trulli,21,21,0.0,0
chandhok,22,22,0.0,0
bruno_senna,23,23,0.0,0
grassi,24,24,0.0,0
glock,25,25,0.0,0
yamamoto,26,26,0.0,0
klien,27,27,0.0,0
vettel,1,1,392.0,11
button,2,2,270.0,3
webber,3,3,258.0,1
alonso,4,4,257.0,1
hamilton,5,5,227.0,3
massa,6,6,118.0,0
rosberg,7,7,89.0,0
michael_schumacher,8,8,76.0,0
sutil,9,9,42.0,0
petrov,10,10,37.0,0
heidfeld,11,11,34.0,0
kobayashi,12,12,30.0,0
resta,13,13,27.0,0
alguersuari,14,14,26.0,0
buemi,15,15,15.0,0
perez,16,16,14.0,0
barrichello,17,17,4.0,0
bruno_senna,18,18,2.0,0
maldonado,19,19,1.0,0
rosa,20,20,0.0,0
trulli,21,21,0.0,0
kovalainen,22,22,0.0,0
liuzzi,23,23,0.0,0
ambrosio,24,24,0.0,0
glock,25,25,0.0,0
karthikeyan,26,26,0.0,0
ricciardo,27,27,0.0,0
chandhok,28,28,0.0,0
vettel,1,1,281.0,5
alonso,2,2,278.0,3
raikkonen,3,3,207.0,1
hamilton,4,4,190.0,4
button,5,5,188.0,3
webber,6,6,179.0,2
massa,7,7,122.0,0
grosjean,8,8,96.0,0
rosberg,9,9,93.0,1
perez,10,10,66.0,0
hulkenberg,11,11,63.0,0
kobayashi,12,12,60.0,0
michael_schumacher,13,13,49.0,0
resta,14,14,46.0,0
maldonado,15,15,45.0,1
bruno_senna,16,16,31.0,0
vergne,17,17,16.0,0
ricciardo,18,18,10.0,0
petrov,19,19,0.0,0
glock,20,20,0.0,0
pic,21,21,0.0,0
kovalainen,22,22,0.0,0
ambrosio,23,23,0.0,0
karthikeyan,24,24,0.0,0
rosa,25,25,0.0,0
vettel,1,1,397.0,13
alonso,2,2,242.0,2
webber,3,3,199.0,0
hamilton,4,4,189.0,1
raikkonen,5,5,183.0,1
rosberg,6,6,171.0,2
grosjean,7,7,132.0,0
massa,8,8,112.0,0
button,9,9,73.0,0
hulkenberg,10,10,51.0,0
perez,11,11,49.0,0
resta,12,12,48.0,0
sutil,13,13,29.0,0
ricciardo,14,14,20.0,0
vergne,15,15,13.0,0
gutierrez,16,16,6.0,0
bottas,17,17,4.0,0
maldonado,18,18,1.0,0
jules_bianchi,19,19,0.0,0
pic,20,20,0.0,0
garde,21,21,0.0,0
kovalainen,22,22,0.0,0
chilton,23,23,0.0,0
hamilton,1,1,384.0,11
rosberg,2,2,317.0,5
ricciardo,3,3,238.0,3
bottas,4,4,186.0,0
vettel,5,5,167.0,0
alonso,6,6,161.0,0
